ccd_latcod	ccd_loncod	race_bully_percent
34.5768	-86.9629	0
34.6106	-87.0073	0
34.5835	-87.0143	0
34.5476	-86.9969	0
34.5765	-87.0349	0
34.5495	-87.0141	0
32.4975	-87.8447	0
32.5097	-87.8337	0
32.5126	-87.8299	0
32.506	-87.8581	0
31.236	-85.3751	0
31.1976	-85.3919	4.38871
31.209	-85.3945	0
31.2421	-85.4208	0.19608
31.2401	-85.421	0
31.2117	-85.3758	0
31.2205	-85.428	0
31.2363	-85.4023	0
31.2092	-85.4148	0
31.2343	-85.3719	0
31.1944	-85.348	0
31.2211	-85.4868	0
31.2708	-85.3947	0
31.1941	-85.3529	0
31.2048	-85.4345	0
31.2676	-85.3814	0
31.2787	-85.4667	0
31.4244	-86.1027	0
31.4274	-86.1033	0
32.5475	-86.2216	0
32.6338	-86.0296	0.21008
32.6356	-86.3261	1.08696
32.4942	-86.3624	0.09372
32.5478	-86.2149	0
32.5525	-86.2225	0.18467
32.5062	-86.3473	0
32.5504	-86.2156	0
32.6343	-86.0254	0
32.6302	-86.3249	0.19157
32.4984	-86.362	0
32.6286	-86.0291	0
32.6353	-86.3274	0
32.5477	-86.215	0
32.5158	-86.3451	0
32.5504	-86.2156	0
		13.88889
31.31	-85.8604	0
31.3115	-85.8382	0
31.3373	-85.8533	0
31.3292	-85.8746	0
31.3221	-85.8543	0
31.3382	-85.8457	0
31.3053	-85.8372	0
31.3269	-85.8178	0
31.3362	-85.8146	0
31.323	-85.8531	0
31.0153	-87.4851	0
31.0065	-87.4866	0
31.0459	-87.4947	0
31.006	-87.2699	0
31.2244	-87.4623	0
31.0603	-87.1705	0
31.0908	-87.0553	0
31.0067	-87.2682	0
31.1139	-87.0957	0
31.0043	-87.2687	0
31.0844	-87.0662	0
31.084	-87.0649	0.45767
31.0178	-87.5036	0
34.1184	-86.1171	0
34.1437	-85.9996	0
34.0683	-85.9268	0
33.9582	-85.9321	0
33.9677	-85.9354	0
33.9962	-85.869	0
33.9947	-85.8722	0
34.0361	-86.1255	0
33.9448	-86.0599	0
34.0814	-85.9893	0
34.1763	-86.1229	0.13123
33.9212	-86.0334	0
34.0634	-86.3023	0
34.0306	-86.2621	0
34.1648	-86.0688	0
33.9686	-85.9352	0
33.9472	-86.0621	0
33.9165	-86.0204	0
34.013	-85.8694	0
34.025	-85.9957	0
31.9193	-85.1391	0
31.9152	-85.1412	0
31.887	-85.16	0
31.8974	-85.1512	0
33.4905	-86.9058	0
33.4912	-86.9083	0
33.4681	-86.9194	0
33.4596	-86.9278	0
33.4776	-86.9146	0
33.663	-87.599	0.37313
33.689	-87.8264	4.7619
33.8295	-87.7423	0
33.6645	-87.6012	0
33.6866	-87.8253	0
33.7031	-87.8218	0
34.8345	-87.6633	0
34.8095	-87.6734	0
34.8504	-87.6759	0
34.8322	-87.6828	0
34.8194	-87.6424	0
34.8105	-87.6722	0
34.8215	-87.6954	0
34.4872	-85.6736	0
34.4573	-85.706	0
34.4811	-85.6792	0
34.4913	-85.6685	0
34.4749	-87.8653	0
34.3842	-87.599	0
34.3501	-87.7069	0
34.4354	-88.1381	0.24361
34.5257	-87.6211	0.45147
34.3743	-88.0593	0
34.3501	-87.7105	0
34.5258	-87.6191	0
33.9986	-85.9832	0.72464
34.002	-85.9653	0
34.0062	-86.0112	0
33.9741	-86.0246	0
34.023	-86.0365	0
34.0392	-86.0197	0
34.0078	-86.0102	0
34.0107	-86.0562	0
34.027	-86.0339	0
34.0005	-85.967	0
34.0396	-85.9693	0
33.995	-86.0357	0
31.0426	-85.8798	0
31.0505	-85.8859	0
31.0436	-85.8812	0
31.0958	-85.7002	0
31.1176	-86.0502	0
31.0985	-85.6016	0
31.1245	-86.0459	0
31.1176	-86.0502	0
31.0986	-85.6996	0
31.0958	-85.7002	0
31.106	-85.5982	0
31.0985	-85.6016	0
32.848	-87.9	0
32.7914	-88.029	0
32.8464	-87.9187	0
32.838	-87.8931	0
32.8326	-87.874	0
34.3586	-86.3125	0
34.3216	-86.3324	0
34.3534	-86.3029	0
34.32	-86.3137	0
32.999	-87.6206	0
33.0001	-87.631	0
32.5648	-87.5802	0
32.7071	-87.589	0
32.7026	-87.5995	0
32.7071	-87.589	0
32.8758	-87.7345	0
34.2253	-87.6069	0
34.2272	-87.6068	0
34.2276	-87.6067	0
34.4191	-86.949	0
34.4392	-86.9475	0
34.4579	-86.9224	0
34.436	-86.9313	0
34.4544	-86.9236	0
		0
31.5821	-85.2782	0
31.5669	-85.2497	0
31.3485	-85.3382	0
31.3485	-85.3397	0
31.3568	-85.3382	0
31.5674	-85.2524	0
		0
33.4712	-86.8096	0
33.4572	-86.8253	0
33.4605	-86.7905	0
33.4777	-86.8115	0
33.4778	-86.7865	0
31.1837	-85.2322	0
31.0566	-85.3016	0
31.2934	-85.1136	0
31.1209	-85.4593	0
31.2599	-85.2701	0
31.2256	-85.6333	0
31.1833	-85.2307	0.25806
31.1251	-85.4468	0.35398
31.1251	-85.4468	0
34.6619	-86.4779	0
34.7238	-86.5669	0
34.7264	-86.6178	0
34.7388	-86.6112	0
34.655	-86.5745	0
34.7516	-86.5588	0
34.7657	-86.5718	0
34.7699	-86.6097	0
34.7599	-86.6364	0
34.5972	-86.563	0
34.6618	-86.5381	0
34.7579	-86.6324	0
34.7135	-86.5835	0
34.7237	-86.575	0
34.7993	-86.6094	0
34.6964	-86.5542	0
34.7724	-86.5903	0
34.7549	-86.5799	0
34.6897	-86.6165	0
34.7365	-86.5307	0
34.7558	-86.6064	0
34.7009	-86.6224	0
34.7892	-86.6069	0
34.733	-86.6375	0
34.7726	-86.6421	0
34.6439	-86.5485	0
34.7153	-86.6255	0
34.7549	-86.5799	0
34.7516	-86.5588	0
34.7699	-86.6097	0
34.7122	-86.6368	0
34.6256	-86.5473	0
34.6742	-86.5708	0
34.7232	-86.6993	0
34.6113	-86.5477	0
34.6113	-86.5477	2.29885
